process;year;Other_Value
Asu;2020;100339224
Asu;2030;8206765784
Asu;2035;7459548207
Asu;2040;6712330629
Asu;2045;5929170978
Asu;2050;5146011327
Btm;2020;55913924
Btm;2030;31063291
Btm;2035;268101305
Btm;2040;22556970
Btm;2045;19044308
Btm;2050;15531646
Conventional ICE;2020;3496621203
Conventional ICE;2030;3496621203
Conventional ICE;2035;3496621203
Conventional ICE;2040;3496621203
Conventional ICE;2045;3496621203
Conventional ICE;2050;3496621203
Dac;2020;70000000
Dac;2030;60000000
Dac;2035;55000000
Dac;2040;50000000
Dac;2045;45000000
Dac;2050;40000000
Dri;2020;79
Dri;2030;79
Dri;2035;79
Dri;2040;79
Dri;2045;79
Dri;2050;79
Eaf;2020;79
Eaf;2030;79
Eaf;2035;79
Eaf;2040;79
Eaf;2045;79
Eaf;2050;79
El;2020;20000000
El;2030;15000000
El;2035;13500000
El;2040;12000000
El;2045;11000000
El;2050;10000000
Hb;2020;17850713
Hb;2030;14600135
Hb;2035;132708075
Hb;2040;11941480
Hb;2045;105482105
Hb;2050;9154941
Msr;2020;180168665
Msr;2030;180168665
Msr;2035;180168665
Msr;2040;180168665
Msr;2045;180168665
Msr;2050;180168665
Mto/Mta;2020;2781006436
Mto/Mta;2030;2781006436
Mto/Mta;2035;2781006436
Mto/Mta;2040;2781006436
Mto/Mta;2045;2781006436
Mto/Mta;2050;2781006436
Offwind;2020;19926105
Offwind;2030;16821226
Offwind;2035;162224435
Offwind;2040;15623661
Offwind;2045;15431486
Offwind;2050;15239311
Onwind;2020;11839119
Onwind;2030;10958533
Onwind;2035;10651670
Onwind;2040;10344807
Onwind;2045;10268091
Onwind;2050;10191375
Pv;2020;5625000
Pv;2030;3837312
Pv;2035;3522779
Pv;2040;3208246
Pv;2045;30670075
Pv;2050;2925769
Smr;2020;5222010492
Smr;2030;5222010492
Smr;2035;5222010492
Smr;2040;5222010492
Smr;2045;5222010492
Smr;2050;5222010492
SmrCC;2020;6057532171
SmrCC;2030;6057532171
SmrCC;2035;6057532171
SmrCC;2040;6057532171
SmrCC;2045;6057532171
SmrCC;2050;6057532171
Bof;2020;16
Bof;2030;16
Bof;2035;16
Bof;2040;16
Bof;2045;16
Bof;2050;16
Fertilizer Synthesis;2020;0
Fertilizer Synthesis;2030;0
Fertilizer Synthesis;2035;0
Fertilizer Synthesis;2040;0
Fertilizer Synthesis;2045;0
Fertilizer Synthesis;2050;0
Nto/Nta;2020;1112402574
Nto/Nta;2030;1112402574
Nto/Nta;2035;1112402574
Nto/Nta;2040;1112402574
Nto/Nta;2045;1112402574
Nto/Nta;2050;1112402574
Rwgs;2020;0
Rwgs;2030;0
Rwgs;2035;0
Rwgs;2040;0
Rwgs;2045;0
Rwgs;2050;0
MeOHSyn1;2020;0
MeOHSyn1;2030;0
MeOHSyn1;2035;0
MeOHSyn1;2040;0
MeOHSyn1;2045;0
MeOHSyn1;2050;0
MeOHSyn2;2020;0
MeOHSyn2;2030;0
MeOHSyn2;2035;0
MeOHSyn2;2040;0
MeOHSyn2;2045;0
MeOHSyn2;2050;0
AmCr;2020;11239453807
AmCr;2030;11239453807
AmCr;2035;9,83E+15
AmCr;2040;8411274391
AmCr;2045;7,00E+15
AmCr;2050;5583094975
Asu;2020;10033922397
Asu;2030;8206765784
Asu;2035;74595482065
Asu;2040;6712330629
Asu;2045;5929170978
Asu;2050;5146011327
Btm;2020;5,59E+15
Btm;2030;31063291
Btm;2035;268101305
Btm;2040;22556970
Btm;2045;19044308
Btm;2050;15531646
Conventional ICE;2020;3,50E+11
Conventional ICE;2030;3,50E+11
Conventional ICE;2035;3,50E+11
Conventional ICE;2040;3,50E+11
Conventional ICE;2045;3,50E+11
Conventional ICE;2050;3,50E+11
Dac;2020;70000000
Dac;2030;60000000
Dac;2035;55000000
Dac;2040;50000000
Dac;2045;45000000
Dac;2050;40000000
El;2020;20000000
El;2030;15000000
El;2035;13500000
El;2040;12000000
El;2045;11000000
El;2050;10000000
H2Eva;2020;1468405
H2Eva;2030;1468405
H2Eva;2035;12459195
H2Eva;2040;1023434
H2Eva;2045;8009485
H2Eva;2050;578463
H2Liq;2020;8899426
H2Liq;2030;8899426
H2Liq;2035;80094835
H2Liq;2040;7,12E+15
H2Liq;2045;6229598
H2Liq;2050;5339655
H2gP;2020;3036845
H2gP;2030;3036845
H2gP;2035;3036845
H2gP;2040;3036845
H2gP;2045;3036845
H2gP;2050;3036845
H2gPR;2020;1294682
H2gPR;2030;1294682
H2gPR;2035;1294682
H2gPR;2040;1294682
H2gPR;2045;1294682
H2gPR;2050;1294682
H2lT;2020;3937370000
H2lT;2030;3937370000
H2lT;2035;3937370000
H2lT;2040;3937370000
H2lT;2045;3937370000
H2lT;2050;3937370000
Hb;2020;17850713
Hb;2030;14600135
Hb;2035;132708075
Hb;2040;11941480
Hb;2045;105482105
Hb;2050;9154941
MeOH ICE;2020;3,85E+11
MeOH ICE;2030;3,68E+11
MeOH ICE;2035;3,59E+11
MeOH ICE;2040;3,50E+11
MeOH ICE;2045;3,50E+11
MeOH ICE;2050;3,50E+11
MeOHT;2020;350000000
MeOHT;2030;350000000
MeOHT;2035;350000000
MeOHT;2040;350000000
MeOHT;2045;350000000
MeOHT;2050;350000000
Msr;2020;180168665
Msr;2030;180168665
Msr;2035;180168665
Msr;2040;180168665
Msr;2045;180168665
Msr;2050;180168665
Mta;2020;27810064359
Mta;2030;27810064359
Mta;2035;27810064359
Mta;2040;27810064359
Mta;2045;27810064359
Mta;2050;27810064359
NH3 ICE;2020;1,44E+12
NH3 ICE;2030;1,32E+12
NH3 ICE;2035;1,26E+13
NH3 ICE;2040;1,20E+12
NH3 ICE;2045;1,20E+12
NH3 ICE;2050;1,20E+12
NH3lT;2020;811642000
NH3lT;2030;811642000
NH3lT;2035;811642000
NH3lT;2040;811642000
NH3lT;2045;811642000
NH3lT;2050;811642000
Nto/Nta;2020;1,11E+11
Nto/Nta;2030;1,11E+11
Nto/Nta;2035;1,11E+11
Nto/Nta;2040;1,11E+11
Nto/Nta;2045;1,11E+11
Nto/Nta;2050;1,11E+11
Offwind;2020;19926105
Offwind;2030;16821226
Offwind;2035;162224435
Offwind;2040;15623661
Offwind;2045;15431486
Offwind;2050;15239311
Onwind;2020;11839119
Onwind;2030;10958533
Onwind;2035;10651670
Onwind;2040;10344807
Onwind;2045;10268091
Onwind;2050;10191375
Pv;2020;5625000
Pv;2030;3837312
Pv;2035;3522779
Pv;2040;3208246
Pv;2045;30670075
Pv;2050;2925769
Smr;2020;5222010492
Smr;2030;5222010492
Smr;2035;5222010492
Smr;2040;5222010492
Smr;2045;5222010492
Smr;2050;5222010492
SmrCC;2020;6057532171
SmrCC;2030;6057532171
SmrCC;2035;6057532171
SmrCC;2040;6057532171
SmrCC;2045;6057532171
SmrCC;2050;6057532171
